,fit_capacity_factor_2015,fit_capacity_factor_2016,fit_capacity_factor_2017,fit_capacity_factor_2018,fit_capacity_factor_2019,fit_capacity_factor_2020
2001-01-01 0:00,0.192087457,0.140471123,0.293245025,0.576394117,0.369987948,0.099246576
2001-01-01 1:00,0.192087457,0.140471123,0.293245025,0.576394117,0.369987948,0.099246576
2001-01-01 2:00,0.199270569,0.134333138,0.293002855,0.619457914,0.406349514,0.098340288
2001-01-01 3:00,0.206293391,0.123330912,0.291979477,0.651533217,0.444842779,0.096867964
2001-01-01 4:00,0.213018342,0.112351273,0.290775604,0.667591481,0.475012123,0.092974304
2001-01-01 5:00,0.220460801,0.101313866,0.297297838,0.680592882,0.510657175,0.091102012
2001-01-01 6:00,0.230926205,0.092093321,0.299136157,0.68581632,0.537191146,0.092735156
2001-01-01 7:00,0.244564386,0.081270829,0.302679312,0.688521288,0.574633704,0.098079738
2001-01-01 8:00,0.250990731,0.070472048,0.306499547,0.678336309,0.597658481,0.104116079
2001-01-01 9:00,0.263892377,0.055272464,0.301458367,0.647681657,0.607865448,0.101382533
2001-01-01 10:00,0.276778824,0.044404413,0.280731177,0.630999019,0.601893576,0.089115577
2001-01-01 11:00,0.265141644,0.031742635,0.274228942,0.637309898,0.604793376,0.087372287
2001-01-01 12:00,0.264801803,0.019674395,0.271185072,0.636878876,0.611302755,0.087466342
2001-01-01 13:00,0.279805253,0.010281099,0.2609169,0.591005761,0.619026108,0.083598058
2001-01-01 14:00,0.300988217,0.002377143,0.249829257,0.516671555,0.628813351,0.077456404
2001-01-01 15:00,0.333483275,0.001569843,0.25248057,0.447148602,0.643226996,0.089891835
2001-01-01 16:00,0.364044612,0.009299031,0.264218666,0.410477682,0.658711376,0.123624887
2001-01-01 17:00,0.381591994,0.025818285,0.257352434,0.378719975,0.674633597,0.16219929
2001-01-01 18:00,0.39985961,0.044598397,0.233606033,0.346582474,0.694713982,0.196998856
2001-01-01 19:00,0.422435598,0.064727321,0.219234005,0.31422418,0.70360241,0.220938152
2001-01-01 20:00,0.451047464,0.084963543,0.211336077,0.293019604,0.713966545,0.223896781
2001-01-01 21:00,0.477311846,0.100179377,0.208600793,0.309757341,0.718683606,0.207715119
2001-01-01 22:00,0.500008517,0.111153385,0.217632995,0.315679636,0.724589398,0.185128043
2001-01-01 23:00,0.527298195,0.125086277,0.230277127,0.292798198,0.728687479,0.161883403
2001-01-02 0:00,0.5501836,0.139807019,0.231099107,0.275107056,0.719377667,0.145036607
2001-01-02 1:00,0.573802909,0.160074744,0.232109229,0.266669068,0.695056057,0.132900393
2001-01-02 2:00,0.602660244,0.187692431,0.229258189,0.252014209,0.685006034,0.129425107
2001-01-02 3:00,0.629241049,0.218412221,0.23942936,0.239800956,0.66502252,0.133264111
2001-01-02 4:00,0.658141461,0.241336939,0.251420751,0.246734843,0.646004876,0.140284798
2001-01-02 5:00,0.681100979,0.266414823,0.252407317,0.270101171,0.636815247,0.146935552
2001-01-02 6:00,0.711277013,0.30080669,0.256566804,0.302330392,0.625799469,0.157266978
2001-01-02 7:00,0.716204055,0.321657498,0.261744601,0.323282375,0.608617758,0.171588388
2001-01-02 8:00,0.710463591,0.344499632,0.255257062,0.309342259,0.584029433,0.186854514
2001-01-02 9:00,0.701730607,0.361240881,0.229928831,0.284008186,0.552603925,0.191532848
2001-01-02 10:00,0.690245027,0.378499253,0.195362188,0.275354244,0.510917546,0.17481728
2001-01-02 11:00,0.671341355,0.398272957,0.179247815,0.273395476,0.505460018,0.166963366
2001-01-02 12:00,0.664982474,0.404180457,0.187216255,0.271583469,0.530552599,0.172860253
2001-01-02 13:00,0.659138962,0.406476421,0.19804752,0.262070813,0.526333206,0.176865557
2001-01-02 14:00,0.645066644,0.409411511,0.204003991,0.252283244,0.492297425,0.182620749
2001-01-02 15:00,0.633809743,0.415125646,0.213222872,0.256597471,0.446142775,0.209697582
2001-01-02 16:00,0.642713099,0.429123094,0.23405393,0.271217605,0.422766907,0.252126242
2001-01-02 17:00,0.651440169,0.442658367,0.234308375,0.283158364,0.390635288,0.282712095
2001-01-02 18:00,0.653944176,0.441170697,0.223049237,0.295009174,0.341399347,0.299057249
2001-01-02 19:00,0.653326223,0.432830314,0.213976754,0.302861566,0.288529198,0.315247696
2001-01-02 20:00,0.648179212,0.425478405,0.215897221,0.323193107,0.248966997,0.325070141
2001-01-02 21:00,0.6405727,0.416715378,0.218274272,0.37511776,0.227285918,0.339099639
2001-01-02 22:00,0.643419926,0.411963008,0.228269398,0.409621607,0.215865243,0.350492917
2001-01-02 23:00,0.64354257,0.40877468,0.231949817,0.428986405,0.202330094,0.363291649
2001-01-03 0:00,0.64171689,0.404947691,0.23822747,0.459464668,0.190050199,0.372302748
2001-01-03 1:00,0.623397709,0.404768551,0.26425038,0.510424122,0.183223763,0.388321992
2001-01-03 2:00,0.59013949,0.400789737,0.285560536,0.567778033,0.176600803,0.398456071
2001-01-03 3:00,0.550889695,0.397066594,0.295278851,0.63846837,0.174785365,0.404434049
2001-01-03 4:00,0.504319965,0.401539609,0.288625645,0.721255317,0.176811411,0.412835293
2001-01-03 5:00,0.454009508,0.410795301,0.301825847,0.776422068,0.175284422,0.41767887
2001-01-03 6:00,0.45308959,0.408708265,0.33122801,0.825693415,0.179163768,0.426898219
2001-01-03 7:00,0.470667795,0.406192034,0.347319913,0.853499336,0.185740697,0.443487309
