hour_of_year;2015;2016;2017;2018;2019;2020
0;76;62;108;121;112;84
1;76;62;108;121;112;84
2;76;62;108;121;112;84
3;76;62;108;121;112;84
4;76;62;108;121;112;84
5;76;62;108;121;112;84
6;76;62;108;121;112;84
7;76;62;108;121;112;84
8;76;62;108;121;112;84
9;76;62;108;121;112;84
10;76;62;108;121;112;84
11;76;62;108;121;112;84
12;76;62;108;121;112;84
13;76;62;108;121;112;84
14;76;62;108;121;112;84
15;76;62;108;121;112;84
16;76;62;108;121;112;84
17;76;62;108;121;112;84
18;76;62;108;121;112;84
19;76;62;108;121;112;84
20;76;62;108;121;112;84
21;76;62;108;121;112;84
22;76;62;108;121;112;84
23;76;62;108;121;112;84
24;76;62;113;121;112;84
25;76;62;113;121;112;84
26;76;62;113;121;112;84
27;76;62;113;121;112;84
28;76;62;113;121;112;84
29;76;62;113;121;112;84
30;76;62;113;121;112;84
31;76;62;113;121;112;84
32;76;62;113;121;112;84
33;76;62;113;121;112;84
34;76;62;113;121;112;84
35;76;62;113;121;112;84
36;76;62;113;121;112;84
37;76;62;113;121;112;84
38;76;62;113;121;112;84
39;76;62;113;121;112;84
40;76;62;113;121;112;84
41;76;62;113;121;112;84
42;76;62;113;121;112;84
43;76;62;113;121;112;84
44;76;62;113;121;112;84
45;76;62;113;121;112;84
46;76;62;113;121;112;84
47;76;62;113;121;112;84
48;76;62;113;121;112;84
49;76;62;113;121;112;84
50;76;62;113;121;112;84
51;76;62;113;121;112;84
52;76;62;113;121;112;84
53;76;62;113;121;112;84
54;76;62;113;121;112;84
55;76;62;113;121;112;84
56;76;62;113;121;112;84
57;76;62;113;121;112;84
58;76;62;113;121;112;84
59;76;62;113;121;112;84
60;76;62;113;121;112;84
61;76;62;113;121;112;84
62;76;62;113;121;112;84
63;76;62;113;121;112;84
64;76;62;113;121;112;84
65;76;62;113;121;112;84
66;76;62;113;121;112;84
67;76;62;113;121;112;84
68;76;62;113;121;112;84
69;76;62;113;121;112;84
70;76;62;113;121;112;84
71;76;62;113;121;112;84
72;76;62;113;121;112;84
73;76;62;113;121;112;84
74;76;62;113;121;112;84
75;76;62;113;121;112;84
76;76;62;113;121;112;84
77;76;62;113;121;112;84
78;76;62;113;121;112;84
79;76;62;113;121;112;84
80;76;62;113;121;112;84
81;76;62;113;121;112;84
82;76;62;113;121;112;84
83;76;62;113;121;112;84
84;76;62;113;121;112;84
85;76;62;113;121;112;84
86;76;62;113;121;112;84
87;76;62;113;121;112;84
88;76;62;113;121;112;84
89;76;62;113;121;112;84
90;76;62;113;121;112;84
91;76;62;113;121;112;84
92;76;62;113;121;112;84
93;76;62;113;121;112;84
94;76;62;113;121;112;84
95;76;62;113;121;112;84
96;76;62;113;121;112;84
97;76;62;113;121;112;84
98;76;62;113;121;112;84
99;76;62;113;121;112;84
100;76;62;113;121;112;84
101;76;62;113;121;112;84
102;76;62;113;121;112;84
103;76;62;113;121;112;84
104;76;62;113;121;112;84
105;76;62;113;121;112;84
106;76;62;113;121;112;84
107;76;62;113;121;112;84
108;76;62;113;121;112;84
109;76;62;113;121;112;84
110;76;62;113;121;112;84
111;76;62;113;121;112;84
112;76;62;113;121;112;84
113;76;62;113;121;112;84
114;76;62;113;121;112;84
115;76;62;113;121;112;84
116;76;62;113;121;112;84
117;76;62;113;121;112;84
118;76;62;113;121;112;84
119;76;62;113;121;112;84
120;76;62;113;121;112;84
121;76;62;113;121;112;84
122;76;62;113;121;112;84
123;76;62;113;121;112;84
124;76;62;113;121;112;84
125;76;62;113;121;112;84
126;76;62;113;121;112;84
127;76;62;113;121;112;84
128;76;62;113;121;112;84
129;76;62;113;121;112;84
130;76;62;113;121;112;84
131;76;62;113;121;112;84
132;76;62;113;121;112;84
133;76;62;113;121;112;84
134;76;62;113;121;112;84
135;76;62;113;121;112;84
136;76;62;113;121;112;84
137;76;62;113;121;112;84
138;76;62;113;121;112;84
139;76;62;113;121;112;84
140;76;62;113;121;112;84
141;76;62;113;121;112;84
142;76;62;113;121;112;84
143;76;62;113;121;112;84
144;76;62;113;121;112;84
145;76;62;113;121;112;84
146;76;62;113;121;112;84
147;76;62;113;121;112;84
148;76;62;113;121;112;84
149;76;62;113;121;112;84
150;76;62;113;121;112;84
151;76;62;113;121;112;84
152;76;62;113;121;112;84
153;76;62;113;121;112;84
154;76;62;113;121;112;84
155;76;62;113;121;112;84
156;76;62;113;121;112;84
157;76;62;113;121;112;84
158;76;62;113;121;112;84
159;76;62;113;121;112;84
160;76;62;113;121;112;84
161;76;62;113;121;112;84
162;76;62;113;121;112;84
163;76;62;113;121;112;84
164;76;62;113;121;112;84
165;76;62;113;121;112;84
166;76;62;113;121;112;84
167;76;62;113;121;112;84
168;76;62;113;121;112;84
169;76;62;113;121;112;84
170;76;62;113;121;112;84
171;76;62;113;121;112;84
172;76;62;113;121;112;84
173;76;62;113;121;112;84
174;76;62;113;121;112;84
175;76;62;113;121;112;84
176;76;62;113;121;112;84
177;76;62;113;121;112;84
178;76;62;113;121;112;84
179;76;62;113;121;112;84
180;76;62;113;121;112;84
181;76;62;113;121;112;84
182;76;62;113;121;112;84
183;76;62;113;121;112;84
184;76;62;113;121;112;84
