time,2015,2016,2017,2018,2019,favorable,adverse
01-01 00:00,4779.0,4996.0,4974.0,4875.0,4913.0,4591.0,4591.0
01-01 01:00,4782.0,4959.0,4949.0,4759.0,4844.0,4562.0,4562.0
01-01 02:00,4790.0,4985.0,4955.0,4741.0,4837.0,4500.0,4500.0
01-01 03:00,4792.0,4995.0,4938.0,4735.0,4802.0,4540.0,4540.0
01-01 04:00,4772.0,4889.0,4966.0,4751.0,4819.0,4484.0,4484.0
01-01 05:00,4765.0,4906.0,4950.0,4738.0,4749.0,4513.0,4513.0
01-01 06:00,4758.0,4938.0,4963.0,4777.0,4818.0,4567.0,4567.0
01-01 07:00,4748.0,4958.0,4981.0,4762.0,4822.0,4632.0,4632.0
01-01 08:00,4734.0,4997.0,5017.0,4804.0,4917.0,4747.0,4747.0
01-01 09:00,4759.0,4985.0,5036.0,4872.0,4931.0,4750.0,4750.0
01-01 10:00,4745.0,4976.0,5045.0,4887.0,5014.0,4758.0,4758.0
01-01 11:00,4776.0,4987.0,5052.0,4883.0,4948.0,4749.0,4749.0
01-01 12:00,4764.0,4986.0,5045.0,4871.0,4971.0,4663.0,4663.0
01-01 13:00,4744.0,5003.0,5053.0,4878.0,4898.0,4629.0,4629.0
01-01 14:00,4802.0,4981.0,5066.0,4876.0,4934.0,4596.0,4596.0
01-01 15:00,4774.0,4976.0,5089.0,4898.0,4929.0,4629.0,4629.0
01-01 16:00,4769.0,5145.0,5100.0,4924.0,4891.0,4811.0,4811.0
01-01 17:00,4751.0,5185.0,5143.0,4928.0,4810.0,4919.0,4919.0
01-01 18:00,4746.0,5093.0,5155.0,4992.0,4790.0,4888.0,4888.0
01-01 19:00,4773.0,5154.0,5157.0,5016.0,4781.0,4888.0,4888.0
01-01 20:00,4807.0,5217.0,5155.0,4901.0,4742.0,4886.0,4886.0
01-01 21:00,4801.0,5076.0,5097.0,4884.0,4744.0,4813.0,4813.0
01-01 22:00,4782.0,5025.0,5120.0,4850.0,4719.0,4720.0,4720.0
01-01 23:00,4777.0,4994.0,5067.0,4813.0,4699.0,4694.0,4694.0
01-02 00:00,4754.0,4845.0,5049.0,4783.0,4668.0,4590.0,4590.0
01-02 01:00,4757.0,4925.0,5059.0,4797.0,4644.0,4555.0,4555.0
01-02 02:00,4773.0,4863.0,5062.0,4790.0,4662.0,4557.0,4557.0
01-02 03:00,4758.0,4846.0,5071.0,4802.0,4674.0,4583.0,4583.0
01-02 04:00,4752.0,4857.0,5083.0,4792.0,4630.0,4573.0,4573.0
01-02 05:00,4702.0,4962.0,5093.0,4812.0,4687.0,4508.0,4508.0
01-02 06:00,4681.0,4880.0,5100.0,4845.0,4728.0,4603.0,4603.0
01-02 07:00,4719.0,4947.0,5183.0,4929.0,4804.0,4680.0,4680.0
01-02 08:00,4727.0,5002.0,5204.0,4961.0,4868.0,4788.0,4788.0
