labels,2015,2016,2017,2018,2019,2020,2021,2022
0,21.296,14.786,20.857,19.625,21.982,12.051,19.123,70.5778
1,21.30481944,14.703375,20.88441667,19.56770833,21.87020833,11.97840278,19.082,70.8106
2,21.31363889,14.62075,20.91183333,19.51041667,21.75841667,11.90580556,19.041,71.0434
3,21.32245833,14.538125,20.93925,19.453125,21.646625,11.83320833,19,71.2762
4,21.33127778,14.4555,20.96666667,19.39583333,21.53483333,11.76061111,18.959,71.509
5,21.34009722,14.372875,20.99408333,19.33854167,21.42304167,11.68801389,18.918,71.7418
6,21.34891667,14.29025,21.0215,19.28125,21.31125,11.61541667,18.877,71.9746
7,21.35773611,14.207625,21.04891667,19.22395833,21.19945833,11.54281944,18.836,72.2074
8,21.36655556,14.125,21.07633333,19.16666667,21.08766667,11.47022222,18.795,72.4402
9,21.375375,14.042375,21.10375,19.109375,20.975875,11.397625,18.754,72.673
10,21.38419444,13.95975,21.13116667,19.05208333,20.86408333,11.32502778,18.713,72.9058
11,21.39301389,13.877125,21.15858333,18.99479167,20.75229167,11.25243056,18.672,73.1386
12,21.40183333,13.7945,21.186,18.9375,20.6405,11.17983333,18.631,73.3714
13,21.41065278,13.711875,21.21341667,18.88020833,20.52870833,11.10723611,18.59,73.6042
14,21.41947222,13.62925,21.24083333,18.82291667,20.41691667,11.03463889,18.549,73.837
15,21.42829167,13.546625,21.26825,18.765625,20.305125,10.96204167,18.508,74.0698
16,21.43711111,13.464,21.29566667,18.70833333,20.19333333,10.88944444,18.467,74.3026
17,21.44593056,13.381375,21.32308333,18.65104167,20.08154167,10.81684722,18.426,74.5354
18,21.45475,13.29875,21.3505,18.59375,19.96975,10.74425,18.385,74.7682
19,21.46356944,13.216125,21.37791667,18.53645833,19.85795833,10.67165278,18.344,75.001
20,21.47238889,13.1335,21.40533333,18.47916667,19.74616667,10.59905556,18.303,75.2338
21,21.48120833,13.050875,21.43275,18.421875,19.634375,10.52645833,18.262,75.4666
22,21.49002778,12.96825,21.46016667,18.36458333,19.52258333,10.45386111,18.221,75.6994
23,21.49884722,12.885625,21.48758333,18.30729167,19.41079167,10.38126389,18.18,75.9322
24,21.50766667,12.803,21.515,18.25,19.299,10.30866667,18.139,76.165
25,21.51648611,12.77670833,21.33154167,18.2205,19.21658333,10.23606944,18.05329167,78.06125
26,21.52530556,12.75041667,21.14808333,18.191,19.13416667,10.16347222,17.96758333,79.9575
27,21.534125,12.724125,20.964625,18.1615,19.05175,10.090875,17.881875,81.85375
28,21.54294444,12.69783333,20.78116667,18.132,18.96933333,10.01827778,17.79616667,83.75
29,21.55176389,12.67154167,20.59770833,18.1025,18.88691667,9.945680556,17.71045833,85.64625
30,21.56058333,12.64525,20.41425,18.073,18.8045,9.873083333,17.62475,87.5425
31,21.56940278,12.61895833,20.23079167,18.0435,18.72208333,9.800486111,17.53904167,89.43875
32,21.57822222,12.59266667,20.04733333,18.014,18.63966667,9.727888889,17.45333333,91.335
33,21.58704167,12.566375,19.863875,17.9845,18.55725,9.655291667,17.367625,93.23125
34,21.59586111,12.54008333,19.68041667,17.955,18.47483333,9.582694444,17.28191667,95.1275
35,21.60468056,12.51379167,19.49695833,17.9255,18.39241667,9.510097222,17.19620833,97.02375
36,21.6135,12.4875,19.3135,17.896,18.31,9.4375,17.1105,98.92
37,21.62231944,12.46120833,19.13004167,17.8665,18.22758333,9.364902778,17.02479167,100.81625
