,residuals_2015,fitted_2015,residuals_2016,fitted_2016,residuals_2017,fitted_2017,residuals_2018,fitted_2018,residuals_2019,fitted_2019,residuals_2020,fitted_2020,residuals_2021,fitted_2021,load_2021,covid_shock,contre_covid,low_shock,high_shock
2000-01-01 0:00,-12090.7816,56691.0316,-14169.52253,57784.27253,-11306.14413,58258.14413,-13303.64544,58736.89544,-13109.9514,56375.4514,-12351.19977,55845.19977,-13584.40826,58170.40826,44586,39235.68,49936.32,-18934.72826,-8234.08826
2000-01-01 1:00,-13236.2816,56691.0316,-15952.52253,57784.27253,-12613.64413,58258.14413,-14466.89544,58736.89544,-14721.4514,56375.4514,-13232.69977,55845.19977,-15338.15826,58170.40826,42832.25,37692.38,47972.12,-20478.02826,-10198.28826
2000-01-01 2:00,-14727.7816,56691.0316,-17614.02253,57784.27253,-13950.14413,58258.14413,-15541.14544,58736.89544,-16261.7014,56375.4514,-14357.19977,55845.19977,-17059.65826,58170.40826,41110.75,36177.46,46044.04,-21992.94826,-12126.36826
2000-01-01 3:00,-16073.2816,56691.0316,-18609.52253,57784.27253,-15189.89413,58258.14413,-16209.39544,58736.89544,-17062.4514,56375.4514,-15543.44977,55845.19977,-17806.15826,58170.40826,40364.25,35520.54,45207.96,-22649.86826,-12962.44826
2000-01-01 4:00,-16754.2816,56691.0316,-19023.02253,57784.27253,-16008.39413,58258.14413,-16221.14544,58736.89544,-17278.2014,56375.4514,-15548.44977,55845.19977,-17852.65826,58170.40826,40317.75,35479.62,45155.88,-22690.78826,-13014.52826
2000-01-01 5:00,-17418.5316,56691.0316,-19752.27253,57784.27253,-17171.14413,58258.14413,-16458.89544,58736.89544,-17740.9514,56375.4514,-15797.69977,55845.19977,-18528.65826,58170.40826,39641.75,34884.74,44398.76,-23285.66826,-13771.64826
2000-01-01 6:00,-18840.7816,56691.0316,-20949.52253,57784.27253,-18552.89413,58258.14413,-17527.64544,58736.89544,-18254.2014,56375.4514,-16879.69977,55845.19977,-19128.65826,58170.40826,39041.75,34356.74,43726.76,-23813.66826,-14443.64826
2000-01-01 7:00,-18592.5316,56691.0316,-20697.77253,57784.27253,-18184.64413,58258.14413,-16937.64544,58736.89544,-17500.7014,56375.4514,-16375.44977,55845.19977,-18648.65826,58170.40826,39521.75,34779.14,44264.36,-23391.26826,-13906.04826
2000-01-01 8:00,-17898.5316,56691.0316,-19940.77253,57784.27253,-17306.89413,58258.14413,-15860.39544,58736.89544,-16682.9514,56375.4514,-15647.19977,55845.19977,-17542.15826,58170.40826,40628.25,35752.86,45503.64,-22417.54826,-12666.76826
2000-01-01 9:00,-25333.67801,66739.92801,-27841.41894,67833.16894,-13198.02897,56737.02897,-23551.54185,68785.79185,-24188.84781,66424.34781,-23405.59617,65894.09617,-25239.05467,68219.30467,42980.25,37822.62,48137.88,-30396.68467,-20081.42467
2000-01-01 10:00,-22473.42801,66739.92801,-25303.41894,67833.16894,-10606.77897,56737.02897,-20998.54185,68785.79185,-21499.59781,66424.34781,-21218.84617,65894.09617,-22654.05467,68219.30467,45565.25,40097.42,51033.08,-28121.88467,-17186.22467
2000-01-01 11:00,-19533.67801,66739.92801,-22518.91894,67833.16894,-8202.778965,56737.02897,-18376.29185,68785.79185,-18633.09781,66424.34781,-19089.84617,65894.09617,-20182.30467,68219.30467,48037,42272.56,53801.44,-25946.74467,-14417.86467
2000-01-01 12:00,-18237.67801,66739.92801,-21758.41894,67833.16894,-7348.778965,56737.02897,-16855.29185,68785.79185,-17301.34781,66424.34781,-17711.59617,65894.09617,-18993.80467,68219.30467,49225.5,43318.44,55132.56,-24900.86467,-13086.74467
2000-01-01 13:00,-19212.17801,66739.92801,-22453.41894,67833.16894,-8418.028965,56737.02897,-17973.79185,68785.79185,-17632.09781,66424.34781,-18023.34617,65894.09617,-19849.30467,68219.30467,48370,42565.6,54174.4,-25653.70467,-14044.90467
2000-01-01 14:00,-19967.92801,66739.92801,-22707.16894,67833.16894,-9195.778965,56737.02897,-19168.79185,68785.79185,-17890.09781,66424.34781,-19714.84617,65894.09617,-20802.80467,68219.30467,47416.5,41726.52,53106.48,-26492.78467,-15112.82467
2000-01-01 15:00,-9957.531603,56691.0316,-12061.77253,57784.27253,-10460.39413,58258.14413,-8965.395442,58736.89544,-7408.951404,56375.4514,-9563.699767,55845.19977,-10464.90826,58170.40826,47705.5,41980.84,53430.16,-16189.56826,-4740.24826
2000-01-01 16:00,-7574.281603,56691.0316,-9494.022528,57784.27253,-8130.394126,58258.14413,-6863.645442,58736.89544,-5683.201404,56375.4514,-6815.449767,55845.19977,-8629.158265,58170.40826,49541.25,43596.3,55486.19999,-14574.10826,-2684.208266
2000-01-01 17:00,-3066.781603,56691.0316,-6055.022528,57784.27253,-3834.144126,58258.14413,-3357.145442,58736.89544,-2479.451404,56375.4514,-2919.699767,55845.19977,-5066.658265,58170.40826,53103.75,46731.3,59476.19999,-11439.10826,1305.791734
2000-01-01 18:00,-2385.781603,56691.0316,-5338.022528,57784.27253,-2898.894126,58258.14413,-2558.895442,58736.89544,-1711.951404,56375.4514,-2067.449767,55845.19977,-4349.158265,58170.40826,53821.25,47362.7,60279.79999,-10807.70826,2109.391734
2000-01-01 19:00,-13105.42801,66739.92801,-16690.16894,67833.16894,-2094.028965,56737.02897,-13962.54185,68785.79185,-12773.34781,66424.34781,-13376.34617,65894.09617,-15441.30467,68219.30467,52778,46444.64,59111.36,-21774.66467,-9107.94467
2000-01-01 20:00,-15304.17801,66739.92801,-18570.91894,67833.16894,-4248.528965,56737.02897,-16540.79185,68785.79185,-15074.59781,66424.34781,-15475.59617,65894.09617,-17725.55467,68219.30467,50493.75,44434.5,56553,-23784.80467,-11666.30467
2000-01-01 21:00,-16648.17801,66739.92801,-19942.66894,67833.16894,-5840.528965,56737.02897,-18544.29185,68785.79185,-16688.34781,66424.34781,-16869.09617,65894.09617,-19483.05467,68219.30467,48736.25,42887.9,54584.6,-25331.40467,-13634.70467
2000-01-01 22:00,-16574.67801,66739.92801,-20426.41894,67833.16894,-5987.278965,56737.02897,-19318.79185,68785.79185,-17685.34781,66424.34781,-17794.34617,65894.09617,-20137.30467,68219.30467,48082,42312.16,53851.84,-25907.14467,-14367.46467
2000-01-01 23:00,-5491.56141,52969.81141,-9845.052334,54063.05233,-10175.64413,58258.14413,-8476.925248,55015.67525,-6698.23121,52654.23121,-6775.979573,52123.97957,-8733.438071,54449.18807,45715.75,40229.86,51201.64,-14219.32807,-3247.548071
2000-01-02 0:00,-12230.5316,56691.0316,-16654.02253,57784.27253,-12688.89413,58258.14413,-15082.89544,58736.89544,-12548.2014,56375.4514,-11886.19977,55845.19977,-15171.40826,58170.40826,42999,37839.12,48158.88,-20331.28826,-10011.52826
2000-01-02 1:00,-14020.5316,56691.0316,-18568.27253,57784.27253,-14633.14413,58258.14413,-16988.14544,58736.89544,-14051.4514,56375.4514,-13322.44977,55845.19977,-16967.15826,58170.40826,41203.25,36258.86,46147.64,-21911.54826,-12022.76826
2000-01-02 2:00,-14955.5316,56691.0316,-19361.27253,57784.27253,-15517.14413,58258.14413,-17441.14544,58736.89544,-14438.2014,56375.4514,-13919.94977,55845.19977,-17943.90826,58170.40826,40226.5,35399.32,45053.68,-22771.08826,-13116.72826
2000-01-02 3:00,-15034.2816,56691.0316,-19613.27253,57784.27253,-15226.39413,58258.14413,-17015.64544,58736.89544,-13947.7014,56375.4514,-13846.19977,55845.19977,-18074.90826,58170.40826,40095.5,35284.04,44906.96,-22886.36826,-13263.44826
2000-01-02 4:00,-14222.5316,56691.0316,-18884.02253,57784.27253,-13826.89413,58258.14413,-15624.64544,58736.89544,-12519.9514,56375.4514,-12736.94977,55845.19977,-17426.40826,58170.40826,40744,35854.72,45633.28,-22315.68826,-12537.12826
