time,2015,2016,2017,2018,2019,favorable,adverse
01-01 00:00,45274.0,44295.0,47373.0,45952.0,44009.0,39576.24,50369.76
01-01 01:00,44442.0,42786.0,46551.0,44616.0,42383.0,38277.36,48716.64000000001
01-01 02:00,42970.0,40926.0,44950.0,43315.0,40568.0,36610.64,46595.36000000001
01-01 03:00,41384.0,39805.0,43549.0,42649.0,39550.0,35527.36,45216.64000000001
01-01 04:00,40493.0,39196.0,42906.0,42424.0,39141.0,35493.04,45172.96000000001
01-01 05:00,40124.0,38793.0,41812.0,42519.0,38897.0,35104.96,44679.04
01-01 06:00,38245.0,37261.0,40047.0,41190.0,38355.0,34367.52,43740.48
01-01 07:00,38741.0,37602.0,40585.0,42054.0,39099.0,35016.08,44565.920000000006
01-01 08:00,39754.0,38541.0,41852.0,43290.0,40118.0,36344.88,46257.12
01-01 09:00,42971.0,41059.0,44686.0,46042.0,43164.0,38485.92,48982.08
01-01 10:00,45713.0,43960.0,47286.0,48544.0,45755.0,40843.44,51982.560000000005
01-01 11:00,48460.0,46235.0,49477.0,51047.0,48463.0,42841.04,54524.96000000001
01-01 12:00,49063.0,46430.0,49850.0,52118.0,49201.0,43468.48,55323.520000000004
01-01 13:00,48374.0,46053.0,49142.0,51511.0,48993.0,42883.28,54578.72000000001
01-01 14:00,47583.0,45649.0,48022.0,49606.0,48691.0,41913.52,53344.48
01-01 15:00,47479.0,46320.0,48306.0,49820.0,49057.0,42212.72,53725.280000000006
01-01 16:00,51653.0,50389.0,52313.0,53622.0,52131.0,44941.6,57198.40000000001
01-01 17:00,54666.0,52659.0,55197.0,55862.0,54502.0,47268.32,60159.68000000001
01-01 18:00,54871.0,53065.0,55599.0,56431.0,54703.0,47486.56,60437.44
01-01 19:00,54441.0,52443.0,55348.0,55555.0,54426.0,46949.76,59754.240000000005
01-01 20:00,53085.0,50659.0,53705.0,53407.0,52233.0,45298.88,57653.12
01-01 21:00,50756.0,48743.0,51459.0,50888.0,50141.0,43347.04,55168.96000000001
