labels,2015,2016,2017,2018,2019,2020,2021,low_shock,high_shock
0,22284.5,20392.75,17216,13714.5,16989.75,16248.25,15763.75,22284.5,13714.5
1,22217,20214,17215.5,12908.25,16311.5,15738.25,15790.5,22217,12908.25
2,21934,19734.25,16528.75,12592,15610.25,15885,15707.5,21934,12592
3,21476,19532,16810.75,12401.25,14694.5,15719,15360.75,21476,12401.25
4,21441.75,19306,16778,12231.5,14562.75,15704.25,15333.25,21441.75,12231.5
5,21606,19166,16821,12376.5,14426.75,15729.25,15370.5,21606,12376.5
6,20904.25,18656,16763,12710.5,14452.75,15948.75,15450.75,20904.25,12710.5
7,20817.5,19214.25,16484.75,12583.75,14630.5,16080.75,16280,20817.5,12583.75
8,21409.5,19153,16930,12563.25,14637,15869,15450.5,21409.5,12563.25
9,21380.25,19760,17532.75,12639.25,14520,15881.25,15459.75,21380.25,12639.25
10,21359.5,19704,17747,12932.5,14242.75,15760.25,15531.25,21359.5,12932.5
11,21813.5,20003.25,18378,12853.75,14348,15572,15491.75,21813.5,12853.75
12,21663.5,20411.25,18153.5,13685.75,14627,15401.75,15790.5,21663.5,13685.75
13,22271.25,19880.5,17576.25,14274.25,14728.5,15772.25,15690.25,22271.25,14274.25
14,22934.25,20502.5,18567.75,15374.25,14811,16683.5,15711.75,22934.25,15374.25
15,23900.25,20823.5,19906.25,15997.25,16203,17255,15746,23900.25,15997.25
16,23254.75,21864.25,19512,17760,17501.75,16986,16408.5,23254.75,17760
17,23220.25,23625,23475.5,19634.5,18545.5,19148.75,18153.5,23220.25,19634.5
18,22953.75,22529.5,23338.25,22179,18094,20228.5,18554.5,22953.75,22179
19,23329.5,21536.5,22447.5,21721.75,17056.5,19581,18632.5,23329.5,21721.75
20,22432.25,21445,20242.5,21016.75,15272,18668.5,16580,22432.25,21016.75
21,21852.25,20962.75,19013,19891.25,14008.75,17260,16292.75,21852.25,19891.25
22,22976.75,20938.5,18487.25,18077,14481.5,17550.5,16553.25,22976.75,18077
23,21540.25,20534.25,18236.75,17496.5,13321.75,16754,15775,21540.25,17496.5
24,20471.75,19565.75,17144.5,16765.75,13105,15884,15448.25,20471.75,16765.75
25,19450.75,19884.5,16376.5,16751.75,12669.75,15807.25,15301,19450.75,16751.75
26,18185.5,19495.5,16567,16790,12658.75,15698.75,15310.75,18185.5,16790
27,17565.5,19409.25,16812.75,16847,12640.25,15645,15306,17565.5,16847
28,18048,19374.5,17431,17225.75,12687.75,15658.75,15327,18048,17225.75
29,18697.25,19202,18337.25,17464,13598.5,15787.25,15476.75,18697.25,17464
30,19010.75,18808,19180,17790.75,15343.25,15666.5,15323.75,19010.75,17790.75
31,20597.75,20068.75,20199.25,19013.25,16668,17944,15287,20597.75,19013.25
32,22103,20311,21987.5,20498.25,17619.75,20541.25,15324.25,22103,20498.25
33,23182,20425,23756,20851,17089.5,19823.75,16261.75,23182,20851
34,22995,20718.5,24162.25,20985.5,16985.75,18831,16893.25,22995,20985.5
35,22728.25,20832.5,23748,21464.75,17000.75,17058.75,16825.5,22728.25,21464.75
36,22898,20943.5,23605,20486.75,16990.5,16954,16195,22898,20486.75
37,22440,20979.75,21365.75,19277,17328.25,16995,16067,22440,19277
38,22825.25,20144.25,20627.75,19628,17350.25,17205.5,16640.25,22825.25,19628
39,22881.25,20065.25,21499.75,20092.25,17553,16813.75,15648.25,22881.25,20092.25
40,23334,20883.5,22778.25,20257.5,18511.25,17091,16610.25,23334,20257.5
41,23628.5,22577.5,22995.75,21464,19337.5,18799.25,19707.25,23628.5,21464
42,23671.25,22889.25,22344,19516.5,19810,18978,19761.25,23671.25,19516.5
43,23775.5,22636.25,21439.5,17994.75,19552.5,16903.25,18879.25,23775.5,17994.75
44,22835.25,21178.5,20719.25,18281.5,18282.25,16646.5,17317.5,22835.25,18281.5
45,21690.25,20064.75,20281.25,17930.5,16994.25,15858.75,15827.5,21690.25,17930.5
46,21659.5,20862,20641.25,18757,17567.25,15720,15832.5,21659.5,18757
47,19878.25,19408,19632.5,17554.5,17436.75,15725,15725.5,19878.25,17554.5
48,19169,19122,19036.25,16241,17663.75,15570.5,15344.25,19169,16241
49,19256.75,19209,17892.25,14156.75,17010.25,15493.75,15028,19256.75,14156.75
50,19062.5,18923.5,17767.75,13621.75,16949.25,15528.25,14773.75,19062.5,13621.75
51,19925.25,18873,17725.5,13269.5,16884,15310.5,14872,19925.25,13269.5
52,19391.75,18922.25,17812.25,13389.5,16873.5,15193.75,14946.5,19391.75,13389.5
53,19682.75,19499.5,17738.5,14168,16919.5,15254,14899.5,19682.75,14168
54,20342,19390.5,19478,15334.75,17410.25,15211.25,14839,20342,15334.75
55,20659,19606.75,20114,17921.75,17913,15268.75,14919,20659,17921.75
56,21059.5,19393.25,21514.75,19943.5,19229.75,17312,15352.25,21059.5,19943.5
57,21566.25,19429.75,21310.5,20320.5,18203.75,16272.5,15303.25,21566.25,20320.5
58,21686.25,20501.25,20413.25,20414,18740.5,16043.5,15071.5,21686.25,20414
59,22338.5,20469,19700.5,19570.75,19767.5,15901.5,15410.25,22338.5,19570.75
60,23929.75,20691.25,19557.25,19179.5,18948.75,16697.25,16339.5,23929.75,19179.5
61,24519.25,19846,19174.25,18776.5,17881.25,15950.5,15180,24519.25,18776.5
62,24894.75,19984,19574,17910.5,17928.25,15681.75,15835.25,24894.75,17910.5
63,25337.25,19523.25,19155,17969.75,18155.25,17135.25,15209.5,25337.25,17969.75
64,24831.25,20656.25,19562.25,18524.25,19698.5,17466.25,16232.5,24831.25,18524.25
65,25235,22904.25,20928.25,20353,20525.75,18069.25,18448.25,25235,20353
66,25523,21751.5,19934,19464.25,21173.5,18156.5,19225.75,25523,19464.25
67,25249.75,22323.5,19312,19230.75,20000.5,18460,17516.5,25249.75,19230.75
68,24190,21900.75,18247.75,18005.5,19109.75,17802.25,16186.75,24190,18005.5
69,22591.25,21301,17504.5,17528,18316.25,17456.75,15507.25,22591.25,17528
70,23241,20716.5,17781.75,17998.25,18172.5,17070.75,15657.25,23241,17998.25
71,22886,20026,16816.25,17129.25,17523.5,16593.25,14964,22886,17129.25
72,23167.25,19522,16997.5,16146.75,17274.5,16091,15231.5,23167.25,16146.75
73,22462.25,19780.5,16935.75,15837.75,17070,15914.5,14824,22462.25,15837.75
74,20962.5,19849,16624.75,16192.25,17040.75,15626.5,14784,20962.5,16192.25
75,21338.5,19486.75,16340.25,16138.75,16999.5,15246.5,14782.5,21338.5,16138.75
