"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2021 00:00 - 01.01.2021 00:15","43567","44973"
"01.01.2021 00:15 - 01.01.2021 00:30","43371","44762"
"01.01.2021 00:30 - 01.01.2021 00:45","42884","44419"
"01.01.2021 00:45 - 01.01.2021 01:00","42803","44123"
"01.01.2021 01:00 - 01.01.2021 01:15","42096","43497"
"01.01.2021 01:15 - 01.01.2021 01:30","41824","42984"
"01.01.2021 01:30 - 01.01.2021 01:45","41426","42472"
"01.01.2021 01:45 - 01.01.2021 02:00","41051","42271"
"01.01.2021 02:00 - 01.01.2021 02:15","40781","41603"
"01.01.2021 02:15 - 01.01.2021 02:30","40703","41206"
"01.01.2021 02:30 - 01.01.2021 02:45","40420","40858"
"01.01.2021 02:45 - 01.01.2021 03:00","40150","40532"
"01.01.2021 03:00 - 01.01.2021 03:15","40235","40372"
"01.01.2021 03:15 - 01.01.2021 03:30","40297","40289"
"01.01.2021 03:30 - 01.01.2021 03:45","40093","40210"
"01.01.2021 03:45 - 01.01.2021 04:00","39967","40064"
"01.01.2021 04:00 - 01.01.2021 04:15","40011","40333"
"01.01.2021 04:15 - 01.01.2021 04:30","39861","40270"
"01.01.2021 04:30 - 01.01.2021 04:45","39765","40238"
"01.01.2021 04:45 - 01.01.2021 05:00","39750","40001"
"01.01.2021 05:00 - 01.01.2021 05:15","39671","39892"
"01.01.2021 05:15 - 01.01.2021 05:30","39326","39476"
"01.01.2021 05:30 - 01.01.2021 05:45","39110","39451"
"01.01.2021 05:45 - 01.01.2021 06:00","38660","39502"
"01.01.2021 06:00 - 01.01.2021 06:15","38218","39054"
"01.01.2021 06:15 - 01.01.2021 06:30","38021","38932"
"01.01.2021 06:30 - 01.01.2021 06:45","38114","38880"
"01.01.2021 06:45 - 01.01.2021 07:00","37732","38971"
"01.01.2021 07:00 - 01.01.2021 07:15","38052","39154"
"01.01.2021 07:15 - 01.01.2021 07:30","38127","39327"
"01.01.2021 07:30 - 01.01.2021 07:45","38499","39631"
"01.01.2021 07:45 - 01.01.2021 08:00","38781","39791"
"01.01.2021 08:00 - 01.01.2021 08:15","39410","40046"
"01.01.2021 08:15 - 01.01.2021 08:30","39554","40329"
"01.01.2021 08:30 - 01.01.2021 08:45","40313","40709"
"01.01.2021 08:45 - 01.01.2021 09:00","40435","41301"
"01.01.2021 09:00 - 01.01.2021 09:15","41397","42206"
"01.01.2021 09:15 - 01.01.2021 09:30","41953","42811"
"01.01.2021 09:30 - 01.01.2021 09:45","42469","43145"
"01.01.2021 09:45 - 01.01.2021 10:00","42718","43734"
"01.01.2021 10:00 - 01.01.2021 10:15","43247","44639"
"01.01.2021 10:15 - 01.01.2021 10:30","44364","45354"
"01.01.2021 10:30 - 01.01.2021 10:45","44928","45829"
"01.01.2021 10:45 - 01.01.2021 11:00","45292","46413"
"01.01.2021 11:00 - 01.01.2021 11:15","46179","47061"
"01.01.2021 11:15 - 01.01.2021 11:30","46771","47893"
"01.01.2021 11:30 - 01.01.2021 11:45","47202","48485"
"01.01.2021 11:45 - 01.01.2021 12:00","47281","48683"
"01.01.2021 12:00 - 01.01.2021 12:15","47071","49278"
"01.01.2021 12:15 - 01.01.2021 12:30","46765","49396"
"01.01.2021 12:30 - 01.01.2021 12:45","46525","49296"
"01.01.2021 12:45 - 01.01.2021 13:00","46186","48906"
"01.01.2021 13:00 - 01.01.2021 13:15","45834","48731"
"01.01.2021 13:15 - 01.01.2021 13:30","45574","48473"
"01.01.2021 13:30 - 01.01.2021 13:45","45422","48282"
"01.01.2021 13:45 - 01.01.2021 14:00","44822","47970"
"01.01.2021 14:00 - 01.01.2021 14:15","44624","47629"
"01.01.2021 14:15 - 01.01.2021 14:30","44777","47445"
"01.01.2021 14:30 - 01.01.2021 14:45","44264","47361"
"01.01.2021 14:45 - 01.01.2021 15:00","44231","47207"
"01.01.2021 15:00 - 01.01.2021 15:15","44489","47524"
"01.01.2021 15:15 - 01.01.2021 15:30","44629","47491"
"01.01.2021 15:30 - 01.01.2021 15:45","44567","47812"
"01.01.2021 15:45 - 01.01.2021 16:00","44446","47969"
"01.01.2021 16:00 - 01.01.2021 16:15","45028","48171"
"01.01.2021 16:15 - 01.01.2021 16:30","45650","48875"
"01.01.2021 16:30 - 01.01.2021 16:45","46573","50013"
"01.01.2021 16:45 - 01.01.2021 17:00","47484","51070"
"01.01.2021 17:00 - 01.01.2021 17:15","49243","52292"
"01.01.2021 17:15 - 01.01.2021 17:30","49620","52996"
"01.01.2021 17:30 - 01.01.2021 17:45","50073","53465"
"01.01.2021 17:45 - 01.01.2021 18:00","50165","53714"
"01.01.2021 18:00 - 01.01.2021 18:15","51093","53918"
"01.01.2021 18:15 - 01.01.2021 18:30","50862","53900"
"01.01.2021 18:30 - 01.01.2021 18:45","50717","53962"
"01.01.2021 18:45 - 01.01.2021 19:00","50129","53497"
"01.01.2021 19:00 - 01.01.2021 19:15","50466","53352"
"01.01.2021 19:15 - 01.01.2021 19:30","49602","52896"
"01.01.2021 19:30 - 01.01.2021 19:45","49341","52616"
"01.01.2021 19:45 - 01.01.2021 20:00","49300","52275"
"01.01.2021 20:00 - 01.01.2021 20:15","48864","51476"
"01.01.2021 20:15 - 01.01.2021 20:30","48593","50777"
"01.01.2021 20:30 - 01.01.2021 20:45","48139","50103"
"01.01.2021 20:45 - 01.01.2021 21:00","47903","49622"
"01.01.2021 21:00 - 01.01.2021 21:15","47634","49258"
"01.01.2021 21:15 - 01.01.2021 21:30","47620","48826"
"01.01.2021 21:30 - 01.01.2021 21:45","47137","48499"
"01.01.2021 21:45 - 01.01.2021 22:00","47154","48338"
"01.01.2021 22:00 - 01.01.2021 22:15","47695","48973"
"01.01.2021 22:15 - 01.01.2021 22:30","47178","48426"
"01.01.2021 22:30 - 01.01.2021 22:45","46603","47774"
"01.01.2021 22:45 - 01.01.2021 23:00","46188","47206"
"01.01.2021 23:00 - 01.01.2021 23:15","45025","46524"
"01.01.2021 23:15 - 01.01.2021 23:30","44182","46040"
"01.01.2021 23:30 - 01.01.2021 23:45","43656","45347"
"01.01.2021 23:45 - 02.01.2021 00:00","43186","44619"
"02.01.2021 00:00 - 02.01.2021 00:15","43325","43658"
"02.01.2021 00:15 - 02.01.2021 00:30","42648","43004"
"02.01.2021 00:30 - 02.01.2021 00:45","42183","42539"
"02.01.2021 00:45 - 02.01.2021 01:00","41759","42136"
"02.01.2021 01:00 - 02.01.2021 01:15","41588","41586"
"02.01.2021 01:15 - 02.01.2021 01:30","41236","41182"
"02.01.2021 01:30 - 02.01.2021 01:45","41091","40825"
"02.01.2021 01:45 - 02.01.2021 02:00","40946","40447"
"02.01.2021 02:00 - 02.01.2021 02:15","40626","40188"
"02.01.2021 02:15 - 02.01.2021 02:30","40449","40065"
"02.01.2021 02:30 - 02.01.2021 02:45","40466","39918"
"02.01.2021 02:45 - 02.01.2021 03:00","40316","39894"
"02.01.2021 03:00 - 02.01.2021 03:15","40220","39714"
"02.01.2021 03:15 - 02.01.2021 03:30","40274","39744"
"02.01.2021 03:30 - 02.01.2021 03:45","40283","39997"
"02.01.2021 03:45 - 02.01.2021 04:00","40319","40022"
"02.01.2021 04:00 - 02.01.2021 04:15","40262","40328"
"02.01.2021 04:15 - 02.01.2021 04:30","40140","40509"
"02.01.2021 04:30 - 02.01.2021 04:45","40384","40652"
"02.01.2021 04:45 - 02.01.2021 05:00","40279","40698"
"02.01.2021 05:00 - 02.01.2021 05:15","40336","40964"
"02.01.2021 05:15 - 02.01.2021 05:30","40491","40737"
"02.01.2021 05:30 - 02.01.2021 05:45","40706","40934"
"02.01.2021 05:45 - 02.01.2021 06:00","41042","41263"
"02.01.2021 06:00 - 02.01.2021 06:15","41264","41766"
"02.01.2021 06:15 - 02.01.2021 06:30","41753","42039"
"02.01.2021 06:30 - 02.01.2021 06:45","41964","42433"
"02.01.2021 06:45 - 02.01.2021 07:00","42603","42735"
"02.01.2021 07:00 - 02.01.2021 07:15","43294","43396"
"02.01.2021 07:15 - 02.01.2021 07:30","43708","43881"
"02.01.2021 07:30 - 02.01.2021 07:45","44633","44256"
"02.01.2021 07:45 - 02.01.2021 08:00","45654","44831"
"02.01.2021 08:00 - 02.01.2021 08:15","46735","45263"
"02.01.2021 08:15 - 02.01.2021 08:30","47532","45986"
"02.01.2021 08:30 - 02.01.2021 08:45","48013","46473"
"02.01.2021 08:45 - 02.01.2021 09:00","48649","47152"
"02.01.2021 09:00 - 02.01.2021 09:15","49758","48169"
"02.01.2021 09:15 - 02.01.2021 09:30","50721","48956"
"02.01.2021 09:30 - 02.01.2021 09:45","51322","49568"
"02.01.2021 09:45 - 02.01.2021 10:00","51836","50082"
"02.01.2021 10:00 - 02.01.2021 10:15","52508","50691"
"02.01.2021 10:15 - 02.01.2021 10:30","52825","51317"
"02.01.2021 10:30 - 02.01.2021 10:45","53133","51907"
"02.01.2021 10:45 - 02.01.2021 11:00","53451","52223"
